headline,date
"Vehicle sales in rural areas recovered since pandemic, says Economic Survey","July 22, 2024 05:59 PM"
"Economic Survey 2024: Auto PLI schemes attract Rs 67k-crore investment, FAME-II and ACC battery storage policy to boost industry","July 22, 2024 04:45 PM"
Hero MotoCorp plans to roll out affordable EVs this fiscal,"July 21, 2024 05:01 PM"
"Mahindra to unveil 5-door version of popular Thar SUV on August 15, to be called...","July 20, 2024 04:00 PM"
"Budget 2024: Auto sector foresee key policy measures to drive growth, innovation and sustainability","July 20, 2024 11:03 AM"
"Tata Motors unveils SUV Coupe Curvv in ICE and EV variants, launch next month","July 19, 2024 05:28 PM"
CEAT Q1 net profit rises 7% to Rs 154 crore,"July 18, 2024 07:45 PM"
Current GST rate for PVs outdated; needs a relook: JSW MG Motor India CEO Emeritus,"July 17, 2024 06:19 PM"
"TVS Motor-owned Norton Motorcycles plans 6 new products, earmarks 200 mn pounds for product development","July 17, 2024 05:06 PM"
Citroen bags order for 500 e-C3 units from Refex Green Mobility,"July 17, 2024 05:04 PM"
Royal Enfield launches premium roadster Guerrilla 450 starting at Rs 2.39 lakh,"July 17, 2024 12:49 PM"
Expect domestic two-wheeler sales to reach peak levels of FY19 latest by Q1 FY26: Bajaj Auto,"July 16, 2024 11:11 PM"
"Bajaj Auto Q1 results beat estimates as net profit soars 18% on-year to Rs 1,988 crore; shares gain","July 16, 2024 01:40 PM"
"UP govt extends EV subsidy policy till 2027; Rs 5,000 for 2-wheelers, Rs 1 lakh for 4-wheelers","July 16, 2024 12:22 PM"
Automobile exports rise by 15.5% in June quarter,"July 14, 2024 10:47 AM"
Mercedes-Benz likely to explore increased EV assembly in India to meet sustainability goals: Report,"July 14, 2024 10:46 AM"
Vietnam's VinFast delays US electric car plant amid market slowdown,"July 13, 2024 06:44 AM"
South Korea's SK On in talks to supply prismatic EV batteries as it seeks turnaround,"July 13, 2024 06:17 AM"
Carmakers will take corrective action to cut inventory levels at their dealers: SIAM,"July 12, 2024 08:29 PM"
FADA seeks vehicle depreciation benefits for income tax payers,"July 12, 2024 03:56 PM"
The Drive Report: 2024 Range Rover Evoque,"July 12, 2024 03:53 PM"
"Automobile sales continue to move upwards, jump 16.4% to 6.4 mn units in Q1: SIAM","July 12, 2024 01:53 PM"
Carmakers resort to discount offers and price cuts to revive volumes,"July 12, 2024 10:01 AM"
"BMW recalling more than 390,000 vehicles due to airbag inflator issue","July 10, 2024 06:00 PM"
"In a boost for Toyota, UP government cuts levies on hybrid cars","July 10, 2024 05:53 PM"
MC Exclusive: Hybrid Cars could see a budget boost with potential cess cut,"July 10, 2024 04:25 PM"
Budget wish list: ATMA asks govt to restrict import of waste tyres,"July 09, 2024 09:57 PM"
Mahindra & Mahindra reduces top XUV 700 model's price to Rs 19.49 lakh for 4 months,"July 09, 2024 06:06 PM"
Auto stocks in huge demand; Maruti jumps nearly 7%,"July 09, 2024 05:02 PM"
Mercedes-Benz to bring its most expensive electric car to India as luxury EV demand grows,"July 09, 2024 04:36 PM"
"Tata Motors reduces price of its popular SUVs Harrier, Safari, to give benefits up to Rs 1.4 lakh","July 09, 2024 02:37 PM"
"Skoda gears up to introduce new Kodiaq, Octavia in India","July 08, 2024 05:59 PM"
Bengaluru leads in electric vehicle sales this year; Tata Tiago.ev tops in major cities,"July 08, 2024 03:47 PM"
The Drive Report: Mercedes-Benz EQA 250+,"July 08, 2024 03:28 PM"
Mercedes-Benz rolls out EQA e-SUV at Rs 66 lakh,"July 08, 2024 02:42 PM"
Centre may tweak policy for sops to EV makers invested in India: Report,"July 08, 2024 08:32 AM"
Hyundai Inster vs Tata Punch EV: What are the specifications? | Hyundai Inster India Launch in 2026,"July 07, 2024 02:06 PM"
"SK On, South Korean EV battery giant, in crisis amid plummeting global sales: Report","July 07, 2024 12:01 PM"
China autos group 'strongly dissatisfied' with EU anti-subsidy tariffs,"July 06, 2024 05:15 PM"
Ather Energy aims to raise market share with foray into family scooter segment,"July 06, 2024 05:00 PM"
"Bajaj launches 'Freedom 125', the world's first CNG motorcycle","July 05, 2024 08:20 PM"
"'Manufacturers cannot depend upon ad-hoc policy, need consistency and long-term roadmap': Merc India MD","July 05, 2024 04:35 PM"
Bajaj Auto stock jumps after launch of world's first CNG-powered bike,"July 05, 2024 03:30 PM"
"Bajaj Auto rolls out world's first CNG-powered bike Freedom 125 at Rs 95,000","July 05, 2024 02:27 PM"
"Auto sales stay flat at 18.95 lakh in June, passenger car retail melts in heatwave, polls: FADA","July 05, 2024 11:42 AM"
Bajaj Auto to launch world's first CNG motorcycle - Freedom 125 - on July 5,"July 04, 2024 06:27 PM"
"JSW-MG Motor readies five new cars, to focus more on EVs, hybrid vehicles","July 04, 2024 12:45 PM"
Electric vehicle makers need to shorten design-to-market timeline,"July 03, 2024 01:07 PM"
TAFE Motors and Tractors ties up with Deutz,"July 03, 2024 12:11 PM"
"BMW India posts record sales at 7,098 units in Jan-Jun","July 03, 2024 12:10 PM"
"VinFast may launch locally assembled EVs in India, advances TN plant opening: Report","July 03, 2024 08:36 AM"
"EV makers seek stable subsidy policy in budget, fresh boost to green mobility: Report","July 03, 2024 07:57 AM"
Tesla beats estimates with less-drastic drop in EV sales,"July 03, 2024 06:21 AM"
"Honda Cars sales dip 5% to 4,804 units in June","July 02, 2024 09:43 PM"
Here's why stock of this smallcap electrode maker hit 20% upper circuit,"July 02, 2024 02:07 PM"
"Kia India sales surge 10% to 21,300 units in Jun","July 02, 2024 10:22 AM"
Auto sales rise marginally by 3.67% to 3.40 lakh units in June,"July 01, 2024 07:30 PM"
Tata Motors domestic sales dip 8%  in June,"July 01, 2024 07:14 PM"
Mercedes to roll out new model offensive after EV missteps,"July 01, 2024 05:05 PM"
Tesla deliveries set to fall for second straight quarter,"July 01, 2024 03:51 PM"
Ashok Leyland stock falls 2% on weak June auto sales,"July 01, 2024 03:24 PM"
Carmakers post SUV-led June sales growth amid heat waves,"July 01, 2024 02:57 PM"
"Maruti Suzuki clocks double-digit June sales growth, riding on strong exports","July 01, 2024 02:49 PM"
"Hyundai sales dip 1% to 64,803 units in June","July 01, 2024 02:23 PM"
"E2W sales remain flat in Q1FY25 despite new offerings by Ola, TVS, Bajaj Auto","July 01, 2024 01:47 PM"
"Mahindra sales rise 11% to 69,397 units in June","July 01, 2024 01:39 PM"
"JSW MG Motor India retail sales dip 9% in June to 4,644 units","July 01, 2024 11:13 AM"
"Toyota records highest-ever monthly sales in June at 27,474 units","July 01, 2024 10:55 AM"
Bajaj Auto sales rise 5% to 3.58 lakh units in June,"July 01, 2024 10:33 AM"
"Outside Europe, India most important market for Skoda, says CEO Klaus Zellmer","June 30, 2024 03:31 PM"
Mercedes-Benz spending more than previously planned on combustion engines: Report,"June 28, 2024 07:28 PM"
The Drive Report: 2024 Kia Sonet,"June 28, 2024 05:21 PM"
"Hyundai unveils Inster e-SUV in South Korea, claims range of 355 km per charge","June 27, 2024 04:23 PM"
"Ather Energy to invest over Rs 2,000 crore on 3rd plant in Maharashtra","June 26, 2024 08:13 PM"
"Hyundai India IPO banks set for country's 2nd biggest payday with $40 million fee, say sources","June 26, 2024 04:31 PM"
"This year, we will invest 40% of capex for CV biz on futuristic mega trends: Tata Motors' Girish Wagh","June 26, 2024 02:39 PM"
"Tata Motors' demerger of CV, PV businesses to secure synergies across biz verticals: Chairman N. Chandrasekaran","June 24, 2024 06:46 PM"
"BII bullish on Indian EV ecosystem, expects to invest $300 mn in 3 yrs: MD Abhinav Sinha","June 23, 2024 10:35 PM"
BIS introduces new safety standards for electric vehicles,"June 22, 2024 07:34 PM"
Bajaj Auto looks to sustain domestic biz momentum; recover export volumes,"June 22, 2024 06:22 PM"
Dealers urge carmakers to slow down factory dispatches as inventory piles up,"June 21, 2024 11:57 AM"
The Drive Report: Citroen C3 Aircross AT,"June 21, 2024 11:35 AM"
Tata Motors to hike prices of commercial vehicles by up to 2% from July 1,"June 19, 2024 11:14 AM"
Tata Motors eyes China market with electric makeover of JLR's Freelander brand,"June 19, 2024 09:43 AM"
Stellantis recalling nearly 1.2 million vehicles to fix software glitch that disables rear camera,"June 18, 2024 04:23 PM"
Hyundai India aims for yearly output of 1 million units and eyes 4 BEV rollouts over next few years,"June 18, 2024 03:12 PM"
M&HCV sales to see upsurge; higher tonnage vehicles in demand: Ashok Leyland,"June 18, 2024 11:38 AM"
Hyundai Motor's shares jump to record high as investors cheer India IPO plans,"June 17, 2024 04:18 PM"
BMW 5 Series LWB 530Li Walk-Around Review | BMW’s Third Long-Wheelbase Model,"June 17, 2024 03:00 PM"
"Hyundai Motor, suppliers shares rise in Seoul as India unit files for IPO","June 17, 2024 11:51 AM"
MINI Cooper 5-door unveiled with wide interiors: A glance at its key features,"June 16, 2024 03:39 PM"
Mahindra group may join hands with global players for cell production in India: MD Anish Shah,"June 16, 2024 11:33 AM"
Hybrid Vs EVs: Who will lead the market share battle?,"June 16, 2024 10:43 AM"
Toyota shareholders demand vote against chairman Toyoda as automaker embroiled in testing scandal,"June 16, 2024 08:47 AM"
"Hyundai India’s royalty outgo to parent company stands at 3.5% of sales revenue, as per pre-IPO DRHP","June 15, 2024 05:27 PM"
Hyundai Motor India poised for sustained growth in FY24 bottomline,"June 15, 2024 04:26 PM"
Greaves Electric Mobility unveils e-scooter Ampere Nexus at Rs 1.09 lakh,"June 15, 2024 04:24 PM"
FADA plans to take up issue of high inventory with SIAM,"June 14, 2024 10:39 PM"
"Modi 3.0 may speed up EV growth with Rs 10,000-cr FAME-III scheme in budget: Report","June 14, 2024 08:06 AM"
"Mercedes Benz to make Rs 3,000 crore investment in Maharashtra: Minister","June 13, 2024 09:31 PM"
Bajaj Auto pushes back launch of CNG-powered motorcycle to July 17,"June 13, 2024 04:22 PM"
"India's safest electric cars: Tata Punch EV, Nexon EV receive 5-star rating in Bharat NCAP test","June 13, 2024 02:59 PM"
Tata Power Renewable Energy deploys over 850 e-bus charging points,"June 12, 2024 06:23 PM"
Siam wants GST on two-wheelers to be lowered,"June 12, 2024 01:45 PM"
"Magenta Mobility strengthens partnership with Tata Motors, deploys over 100 units of Tata Ace EV","June 11, 2024 03:09 PM"
"Domestic passenger vehicle sales up 4% in May at 3,47,492 units: SIAM","June 11, 2024 02:41 PM"
"Citroen signs MoU with CAB-EEZ Infra Tech to supply 2,000 units of e-C3 EVs","June 10, 2024 07:26 PM"
"Sonalika domestic tractor sales rise 5.2% to 11,130 units in May","June 10, 2024 06:13 PM"
"EV industry upbeat on Modi 3.0 with hopes of continued policy support, fresh sops","June 10, 2024 01:15 PM"
Sachin Bansal sells remaining 7.5% stake in Ather Energy,"June 08, 2024 02:02 PM"
Bajaj Auto expands electric scooter lineup with new Chetak 2901,"June 08, 2024 01:15 PM"
Uno Minda partners with lnovance Automotive to strengthen electric four-wheeler portfolio,"June 05, 2024 06:35 PM"
"Ampere launches Nexus electric scooters, delivery to start in Bangalore","June 05, 2024 12:47 PM"
Tata Motors board okays to set up TML Commercial Vehicles as a new wholly-owned unit,"June 04, 2024 07:41 PM"
HMSI posts 45% jump in domestic sales in May,"June 03, 2024 06:08 PM"
"Mercedes-Benz India rolls out C300 AMG; updates C200, C220d and GLC","June 03, 2024 03:10 PM"
Eicher Motors' sales soar 9.7% in May with strong domestic and international growth,"June 02, 2024 10:32 AM"
Hero MotoCorp sales dip over 4% YoY; exports surge 67% in May,"June 02, 2024 10:05 AM"
"Passenger vehicle sales rise at modest pace of 4.4% at 3,50,257 units in May","June 01, 2024 06:31 PM"
No license without driving test: Govt issues clarification on certificates issued by accredited driver training centres,"June 01, 2024 04:17 PM"
"Tata Motors sales up 2% at 76,766 units in May","June 01, 2024 04:12 PM"
"Maruti Suzuki sales drop 2% to 1,74,551 units in May","June 01, 2024 02:58 PM"
"Kia India sales up 4% in May at 19,500 units","June 01, 2024 02:20 PM"
"TVS Motor reports 12% sales growth, exports zoom 27% in May","June 01, 2024 12:59 PM"
"Hyundai sales up 7% at 63,551 units in May","June 01, 2024 12:46 PM"
"SML Isuzu sales accelerate over 21% in May on boom in passenger, cargo vehicles","June 01, 2024 12:35 PM"
"Escorts Kubota tractor sales drop 6%, construction equipment grows 3.3% in May","June 01, 2024 12:15 PM"
"Stellantis names Shailesh Hazela as CEO, MD of India operations","June 01, 2024 12:02 PM"
"M&M rides on utility vehicles, passenger cars to drive sales up 17% in May","June 01, 2024 11:24 AM"
"MG Motor sales dip 5% in May at 4,769 units","June 01, 2024 11:21 AM"
Mercedes eyes reduced trade barriers from new India government,"May 31, 2024 10:43 PM"
"Tesla recalling more than 125,000 vehicles to fix seat belt warning system","May 31, 2024 06:56 PM"
The Drive Report: Mercedes-AMG C43 4Matic,"May 31, 2024 01:04 PM"
Auto giants line up investments of up to Rs 1 lakh crore in current fiscal,"May 31, 2024 09:47 AM"
"Ashok Leyland's investments in Switch Mobility set to yield results in medium term, says Dheeraj Hinduja","May 28, 2024 11:10 PM"
Amara Raja Q4 net profit shoots 62% YoY to Rs 230 crore; announces dividend,"May 28, 2024 10:52 PM"
BYD launches new hybrid vehicle tech with lower fuel consumption,"May 28, 2024 06:29 PM"
Uttar Pradesh e-bus plant to begin operations in 12-13 months: Ashok Leyland's Dheeraj Hinduja,"May 27, 2024 02:23 PM"
Ashok Leyland targets 25% market share in LCV market; to launch six models in FY25,"May 24, 2024 08:32 PM"
Ashok Leyland Q4 FY24 net profit rises 17% to Rs 934 crore,"May 24, 2024 02:01 PM"
Surge in demand amid rising affluence sparks long waiting periods for high-end cars,"May 24, 2024 01:57 PM"
Pune Porsche crash: Juvenile Justice Board Remands Minor Accused to Rehabilitation Centre Till June 5,"May 23, 2024 06:12 PM"
Kia shrugs off slowing EV demand to launch compact electric SUV,"May 23, 2024 05:24 PM"
"XUV 3XO will attract many first-time buyers who may not wait endlessly for delivery: Rajesh Jejurikar, M&M","May 23, 2024 05:23 PM"
In concrete discussions over car partnerships in India: Volkswagen CFO,"May 23, 2024 03:14 PM"
Driving tests not mandatory at RTO from June 1: Here are new licence rules,"May 23, 2024 01:22 PM"
"Mercedes-Benz drives AMG S 63 E Performance, Maybach GLS 600 SUV into India","May 22, 2024 05:52 PM"
"JK Tyre to invest Rs 1,400 crore for capacity expansion, product development in two years","May 22, 2024 03:53 PM"
Mercedes-AMG S 63 E Performance Launched at Rs 3.30 Crore | First Look & Features,"May 22, 2024 03:34 PM"
Mahindra launches XUV700 variant AX5 Select at a starting price of Rs 16.89 lakh,"May 22, 2024 11:43 AM"
"Ministry bars Hero Electric, Benling India from EV incentive schemes over default: Report","May 22, 2024 08:33 AM"
Hero MotoCorp looking at 360-degree approach to win in premium motorcycle segment: CEO Niranjan Gupta,"May 21, 2024 07:22 PM"
"M&M to enter new business, list auto, EV units and step up overseas presence","May 21, 2024 09:36 AM"
Uber India gets aggregator licence to operate buses in Delhi,"May 20, 2024 05:42 PM"
"Hero MotoCorp, Harley-Davidson to broaden India ties: Report","May 20, 2024 07:26 AM"
Govt to come out with detailed guidelines for electric vehicle policy,"May 17, 2024 08:11 PM"
Tesla 'silent'; yet to communicate its India plans: Official,"May 17, 2024 06:42 PM"
"Volkswagen and Renault end talks to develop affordable EV, say sources","May 17, 2024 05:30 PM"
Mahindra & Mahindra to invest $1.44 billion in EV arm; explores hybrid tech,"May 17, 2024 05:19 PM"
Kia introduces vehicle lease programme in partnership with Orix,"May 17, 2024 05:12 PM"
"M&M continues to log 48,000 monthly SUV bookings, order book at 2.2 lakh units","May 16, 2024 09:21 PM"
"M&M outlines Rs 37,000 crore capex for FY 25-27, nearly 75% earmarked for auto business","May 16, 2024 07:01 PM"
Mahindra lines up big SUV rollouts with six new utility vehicles by 2030,"May 16, 2024 04:00 PM"
"M&M Q4 net profit rises 32% to Rs 2,038 cr, declares Rs 21.10 dividend","May 16, 2024 02:03 PM"
The Drive Report: 2024 Maruti Suzuki Swift,"May 16, 2024 11:54 AM"
TVS Motor Co starts operations in Italy,"May 15, 2024 08:58 PM"
"No plans to acquire any startup in e-motorcycle biz, says Eicher Motors MD and CEO Siddhartha Lal","May 15, 2024 07:16 PM"
"M&M receives 50,000 bookings for newly-launched XUV 3XO within 60 minutes","May 15, 2024 06:43 PM"
TVS Motor launches electric two-wheeler iQube in Bengaluru,"May 15, 2024 03:31 PM"
"Mahindra XUV 3XO's bookings commence, deliveries to begin from May 26","May 15, 2024 02:49 PM"
"Our investments will be for both ICE and EVs: K.N. Radhakrishnan, TVS Motor Co ED & CEO","May 14, 2024 07:32 PM"
Europe's Stellantis and China's Leapmotor will sell electric cars in Europe from September,"May 14, 2024 05:15 PM"
Suzuki says will continue to expand SUV portfolio to recover market share in India,"May 13, 2024 10:36 PM"
"TVS Motor launches new base variant of iQube for Rs 94,999","May 13, 2024 07:23 PM"
Hyundai ties up with Laxmi Group to commence Venue production in Nepal,"May 13, 2024 05:18 PM"
Maruti Suzuki launches 2 new variants of compact SUV Fronx starting at Rs 8.93 lakh,"May 13, 2024 05:12 PM"
Maruti Suzuki expects over 30% jump in CNG vehicle sales at 6 lakh units in FY25,"May 12, 2024 03:58 PM"
Royal Enfield’s competitors have increased focus on the premium bikes segment: Eicher Motors MD and CEO Siddhartha Lal,"May 11, 2024 09:38 PM"
"Tata Nexon gets new entry-level trim, price starts at Rs 8 lakh","May 11, 2024 05:43 PM"
"Tata Motors earmarks Rs 43,000 crore for product development, new technologies during FY25","May 10, 2024 08:48 PM"
"JLR's Range Rover Q4FY24 sales at record, upcoming electric model has a wait list","May 10, 2024 06:51 PM"
"Tata Motors Q4 net profit more than triples to Rs 17,407 crore on strong vehicle demand, revenue up 13%","May 10, 2024 03:51 PM"
"Maruti Suzuki Launches New Swift | Here’s The First Look, Features & Price","May 10, 2024 11:15 AM"
"Swift to expand premium hatchback segment, not cannibalise any other models: Maruti Suzuki","May 09, 2024 08:43 PM"
"Maruti Suzuki rolls out 4th-gen Swift starting at Rs 6.49 lakh; available also on monthly subscription of Rs 17,436","May 09, 2024 12:59 PM"
TVS Motor Q4 net profit rises 18% to Rs 485 crore,"May 08, 2024 05:02 PM"
"Hero MotoCorp's Xoom to launch by September, CEO promises 'big strides' in EV","May 08, 2024 03:00 PM"
"Hero MotoCorp Q4 net profit rises 18% to Rs 1,016 cr, declares Rs 40 dividend","May 08, 2024 02:45 PM"
PV retail sales rise 16% to 3.35 lakh units in April: FADA data,"May 08, 2024 11:30 AM"
"Magenta Mobility partners Switch Mobility to deploy eLCVs in mid-, last-mile delivery space","May 07, 2024 08:08 PM"
Porsche India sales rise 15% to 244 units in Q1 2024,"May 07, 2024 04:20 PM"
"More layoffs at Tesla! EV major gives pink slips to staff in software, service teams","May 07, 2024 12:00 PM"
New MotoGP rules applicable from 2027 seek to make races safer,"May 06, 2024 07:43 PM"
"Mahindra, Tata Motors receive record patent approvals in FY24","May 05, 2024 12:44 PM"
Porsche India rolls out next-gen Panamera supersport sedan at Rs 1.70 crore,"May 04, 2024 03:08 PM"
Hot Wheels: All you need to know about the new Porsche Panerama,"May 04, 2024 02:04 PM"
"A peek at Bajaj Pulsar NS400Z, set to take on Enfield Guerrilla 450, KTM 390 Duke","May 03, 2024 11:17 PM"
Expect India to become 2nd largest market for Citroen after France in 5 years: CEO Thierry Koskas,"May 03, 2024 08:09 PM"
28% GST on lower-end Indian motorcycles much higher than other emerging markets: Bajaj Auto MD Rajiv Bajaj,"May 03, 2024 04:47 PM"
"Bajaj Auto to launch world's first CNG-powered bike in June, confirms MD Rajiv Bajaj","May 03, 2024 02:52 PM"
Bajaj Auto could have done 'little more a little before' with Pulsar brand: MD Rajiv Bajaj,"May 03, 2024 01:16 PM"
Bajaj Auto's 'biggest' Pulsar NS400Z at Rs 1.85 lakh hopes to woo 'new buyers',"May 03, 2024 12:14 PM"
Uber hit with £250 million suit from London’s black cab drivers,"May 02, 2024 04:36 PM"
Most Godrej group stocks surge 2-8% after conglomerate's split,"May 02, 2024 09:04 AM"
"PV sales in April rise marginally to 338,000 units, SUVs' share surges to 53.5%","May 01, 2024 05:50 PM"
"Royal Enfield sales up 12% at 81,870 units in April","May 01, 2024 05:11 PM"
"TVS Motor sales up 25% in April at 3,83,615 units","May 01, 2024 05:01 PM"
"Maruti Suzuki's total sales increase 5% to 1,68,089 units in April","May 01, 2024 04:17 PM"
Ola Electric's market share crosses 50% even as India EV sales dip in April,"May 01, 2024 01:50 PM"
"Maruti Suzuki starts pre-booking of Epic New Swift at Rs 11,000 per unit","May 01, 2024 10:46 AM"
"Demand for SUVs here to stay, see no change in trend, says Maruti's RC Bhargava","April 30, 2024 06:31 PM"
Ride-hailing app Uber ceases operations across Pakistan,"April 30, 2024 06:25 PM"
"Hero MotoCorp reveals Harley Davidson 2024 model prices across India, starting from Rs 13.39 lakh","April 30, 2024 06:07 PM"
"Tech Mahindra, Atento join hands to offer GenAI-powered services","April 30, 2024 05:39 PM"
Eyeing top two spots in sub-compact SUV market in 2-3 years with XUV 3XO: M&M's Rajesh Jejurikar,"April 30, 2024 02:48 PM"
"Greaves Electric Mobility launches e-scooter Ampere Nexus starting at Rs 1,09,900","April 30, 2024 11:33 AM"
M&M rolls out XUV 3XO subcompact SUV at Rs 7.49 lakh,"April 29, 2024 10:35 PM"
"Mahindra launches XUV 3XO, prices starting below Rs 8 lakh","April 29, 2024 07:10 PM"
Tesla clears key China assisted-driving hurdle with Baidu deal; stock up 10% in pre-market rally,"April 29, 2024 10:38 AM"
Bajaj Auto expects to continue solid FY24 performance in current fiscal,"April 29, 2024 09:36 AM"
Indian startup The ePlane to develop electric air taxi prototype by March 2025,"April 28, 2024 07:05 PM"
Elon Musk visits China amid Tesla's push for self-driving technology deployment,"April 28, 2024 06:09 PM"
"Maruti Suzuki earmarks Rs 10,000 crore capex for FY 2024-25","April 26, 2024 09:33 PM"
"Maruti Suzuki 3.0 to make 40 lakh cars a year by 2031, double the sales from now","April 26, 2024 08:31 PM"
High-margin UV sales power Maruti Suzuki’s FY24 topline & bottomline,"April 26, 2024 07:57 PM"
"Hyundai plans to scale up production capacity, introduce more EVs in India","April 25, 2024 02:42 PM"
Audi to hike vehicle prices by up to 2% from June,"April 25, 2024 02:20 PM"
VinFast founder commits $1 bn as EV maker bleeds cash,"April 25, 2024 01:44 PM"
"Hyundai, Kia to launch first India-made EVs next year","April 25, 2024 12:58 PM"
TVS-backed Ultraviolette launches F77 MACH 2: Here is the picture showcase of the electric bike setting new benchmarks,"April 24, 2024 07:50 PM"
"Kia Carens scores 5 stars for child safety, Honda Amaze gets zero stars","April 24, 2024 11:10 AM"
Capex for EV components to exceed Rs 25k crore in next 3-4 years: ICRA,"April 23, 2024 01:51 PM"
Range Rover Electric's first vehicle prototype undergoes testing in extreme temperatures,"April 23, 2024 12:36 PM"
"Volkswagen unveils Taigun GT Line, GT Plus Sport: A glance at the spectacular models","April 22, 2024 07:59 PM"
Macquarie introduces $1.5-billion India EV financing platform Vertelo,"April 22, 2024 07:52 PM"
The Drive Report: 2024 Land Rover Discovery Sport,"April 22, 2024 06:16 PM"
"EVs in slow lane: Tesla slashes prices in China, Germany and other key markets","April 22, 2024 03:14 PM"
Sona Comstar's new facility in Mexico likely to supply EV parts to Tesla in North America,"April 22, 2024 02:38 PM"
Bombay HC quashes Maharashtra's circular imposing new conditions on BH series vehicle registration,"April 21, 2024 11:41 AM"
Expect rural sales contribution at record levels this fiscal: Hyundai,"April 21, 2024 11:15 AM"
"Tesla cuts price of Full Self-Driving software by a third to $8,000","April 21, 2024 10:07 AM"
Tesla spends weekend cutting prices of cars and FSD software,"April 21, 2024 08:32 AM"
India sees Tesla alone achieving 50% domestic value addition for EVs in less than 3 years: Official,"April 19, 2024 02:48 PM"
"Bajaj Auto's stellar Q4 earnings impress Street, but rich valuations may limit stock rally","April 19, 2024 10:40 AM"
HMSI commissions new assembly line at Manesar unit,"April 18, 2024 11:10 PM"
"EVs unlikely to be profitable at unit level, even after PLI: Bajaj Auto","April 18, 2024 11:07 PM"
Bajaj Auto plans 6 new launches in next 6 months; bridges gap in 'upper-half' from 10% to 2%,"April 18, 2024 10:54 PM"
Bajaj Auto to maintain margins despite ramping up unprofitable EV business,"April 18, 2024 10:40 PM"
Bajaj's ramp up plan for Bajaj e-autos: One store addition every two days,"April 18, 2024 10:28 PM"
"Domestic industry to grow 7-8% but Bajaj will race ahead faster, says a confident management","April 18, 2024 09:55 PM"
"Chetak EV records highest quarterly volumes, helps Bajaj secure 3rd spot in electric two wheeler segment","April 18, 2024 09:53 PM"
"Bajaj Auto gains toehold in middleweight segment with 400cc Triumph Speed, Scrambler","April 18, 2024 08:40 PM"
"Bajaj Auto Q4 profit at Rs 2,011 crore, beats estimates; declares dividend","April 18, 2024 04:47 PM"
Triumph Motorcycles unveils MY24 Tiger 900 range to celebrate 10 years in India,"April 17, 2024 10:12 PM"
Daimler India gears up for EV foray with eCanter LCV,"April 17, 2024 03:02 PM"
Mercedes-Benz is betting big on SUVs in India. Here’s why,"April 16, 2024 03:13 PM"
"Tesla's India entry to boost domestic EV market, say experts","April 16, 2024 11:56 AM"
Tesla to cut over 10% of its global workforce: Report,"April 15, 2024 03:46 PM"
"Tesla scouts for its first India showroom locations in Delhi, Mumbai: Report","April 15, 2024 02:06 PM"
"WTicabs plans to induct 1,000 EVs in its fleet this fiscal","April 14, 2024 12:59 PM"
Automobile exports from India dip 5.5% in FY24,"April 14, 2024 12:25 PM"
The Drive Report: Audi RS4 Avant,"April 13, 2024 09:22 AM"
OSM ties up with Exponent Energy to offer world's 1st electric 3-wheeler with fast charging capabilities,"April 12, 2024 07:56 PM"
"Car sales in fast lane with 8.4% growth in FY24, riding on robust growth and chip supply","April 12, 2024 02:19 PM"
"Tesla CEO Elon Musk's India visit to last around 48 hours, may unveil plans for Starlink service","April 12, 2024 01:45 PM"
"Unfazed by impending entry of Tesla, new EV policy has safeguards: Mercedes-Benz India","April 11, 2024 06:10 PM"
Mercedes-Benz India reports best-ever retail sales in FY24,"April 11, 2024 04:19 PM"
TPEM and Shell join hands to deploy EV charging stations across India,"April 11, 2024 03:02 PM"
Bridgestone India rolls out Turanza 6i tyres for domestic PV aftermarket,"April 10, 2024 06:31 PM"
BMW EV sales surge even as rivals struggle with weak demand,"April 10, 2024 04:23 PM"
"Tata Motors global wholesales up 8% at 3,77,432 units in Q4 FY24","April 10, 2024 03:04 PM"
MG Motor India launches Blackstorm edition of Hector SUV at Rs 21.24 lakh,"April 10, 2024 02:04 PM"
Maruti Suzuki hikes prices of Swift and selected variants of Grand Vitara; details here,"April 10, 2024 01:32 PM"
"Carmakers set to launch 50 new petrol, diesel models by June 2025","April 10, 2024 01:05 PM"
'Tesla’s Entry into India will be Natural Progression' | Elon Musk on electric vehicles,"April 09, 2024 07:56 PM"
Electric vehicle retail sales grow across segments in FY24: FADA,"April 09, 2024 06:35 PM"
Maruti Suzuki expands capacity at Manesar by additional 1 lakh units per year,"April 09, 2024 12:13 PM"
"BMW sales rise 51% to 3,680 units in January-March quarter","April 08, 2024 06:09 PM"
"PV retail sales in March decline by 6% YoY, but rise 8.45% in FY24: FADA","April 08, 2024 10:49 AM"
"Maruti Suzuki eyes 3 lakh exports in FY25, 8 lakh by 2030","April 07, 2024 12:51 PM"
"IPO-bound Ather Energy launches its first family scooter 'Rizta,' priced Rs 1,09,999 onwards","April 06, 2024 02:02 PM"
"ICE is 'dead technology', Indian two-wheeler makers should grab global EV market: G20 sherpa Amitabh Kant","April 06, 2024 12:00 PM"
"EV sales projected to surge 66% in 2024, says Counterpoint Research","April 05, 2024 07:15 PM"
Tesla begins making cars in Germany for export to India this year: Report,"April 04, 2024 06:47 PM"
Mahindra's upcoming XUV 3XO SUV to debut globally on April 29,"April 04, 2024 04:41 PM"
Rural markets embracing midsize and large SUVs: Hyundai India COO,"April 04, 2024 01:13 PM"
