headline,date
"Ford may re-enter India, set to consider new proposal: Report","August 03, 2024 11:43 AM"
"E2W sales reach 1-lakh mark in July, nearly 96% YoY jump","August 02, 2024 07:59 PM"
Govt lists ongoing schemes to speed up electric vehicle adoption,"August 02, 2024 06:47 PM"
"Electric motor parts maker EuroGroup Laminations enters India, signs JV in China","August 02, 2024 05:11 PM"
"PV sales hit a speedbreaker in July, fall 2.5% to 3.44 lakh units YoY","August 02, 2024 12:33 PM"
"No plans to leverage EV policy for JLR, says Tata Motors CFO","August 01, 2024 09:03 PM"
"Royal Enfield sales down 8% at 67,265 units in July","August 01, 2024 08:37 PM"
Lacklustre EV volumes a temporary aberration: Tata Motors CFO,"August 01, 2024 08:29 PM"
"Maruti Suzuki total sales slips 3.63% to 1,75,041 units in July","August 01, 2024 05:10 PM"
"Tata Motors Q1 results: Net profit zooms 74% on-year to Rs 5,566 crore, beats estimates","August 01, 2024 04:11 PM"
The Drive Report: Lexus NX Overtrail,"August 01, 2024 02:53 PM"
"July Auto Sales: Mahindra & Mahindra’s domestic PVs up 15%, exports down 40%","August 01, 2024 01:07 PM"
"Hero MotoCorp enters South-East Asian market, begins production in the Philippines","August 01, 2024 12:12 PM"
"M&M hits record tractor sales in Q1FY25, projects over 5% growth ahead","July 31, 2024 08:41 PM"
"We are open to expanding our cooperation with Volkswagen on EVs, says M&M top official","July 31, 2024 07:51 PM"
Japan's top automaker Toyota acknowledges more certification cheating and apologizes,"July 31, 2024 03:49 PM"
"Maruti Suzuki Q1FY25 net profit jumps 47% to Rs 3,650 crore, beats estimates","July 31, 2024 03:28 PM"
"M&M's Q1 net profit falls 5% YoY to Rs 2,613 crore, SUV revenue market share rises","July 31, 2024 01:15 PM"
Tesla zeroes in on 3 states for potential manufacturing unit: Reports,"July 31, 2024 09:12 AM"
Tesla recalling more than 1.8M vehicles due to hood issue,"July 30, 2024 04:36 PM"
We are going ahead with our EV investments in a phased manner: Amara Raja Executive director,"July 30, 2024 03:00 PM"
Tata Motors in legal clash with EPFO over pension fund transfer: Report,"July 29, 2024 08:48 AM"
Mitsubishi Motors joins Honda-Nissan alliance amidst major auto industry shift: Report,"July 28, 2024 08:41 AM"
The Ride Report: Royal Enfield Guerrilla 450,"July 27, 2024 10:00 AM"
Hero Motocorp attributes a loss of Rs 390 crore in investee company Ather Energy,"July 26, 2024 06:58 PM"
"In Budget 2024, catalysts introduced to augment growth for auto sector","July 26, 2024 12:50 PM"
"Hero Moto's appeal upheld, tax tribunal sets aside Rs 2,337 crore tax demand","July 26, 2024 07:55 AM"
"Indian auto component industry logs 9.8% growth in topline at $74.1 bn in FY24, EVs’ share rises to 6%","July 25, 2024 02:50 PM"
Ashok Leyland's Q1 net profit declines 9% to Rs 526 crore,"July 25, 2024 01:16 PM"
"BMW India has no immediate plans to build EVs locally, banks on subsidies to perk up numbers","July 24, 2024 09:41 PM"
"BMW launches new 5 Series sedan, Mini Countryman electric SUV in India","July 24, 2024 07:39 PM"
"BMW unveils 5 Series long wheelbase in India at Rs 72.90 lakh: Photos showcase luxury, space, and innovation","July 24, 2024 06:56 PM"
MINI Cooper S and Electric Countryman debut in India: BMW's new models feature advanced connectivity and design,"July 24, 2024 05:41 PM"
Porsche India retail sales grow 40% in Jan-June period,"July 24, 2024 05:14 PM"
"BMW launches CE 04 Electric Scooter in India at Rs 14.90 lakh: A look at design, performance, and features","July 24, 2024 03:50 PM"
Nissan looks to rev up India ops; lines up product launches over next 30 months,"July 24, 2024 03:35 PM"
"Ola Electric's $740 mn IPO likely in August, targeting $4-4.25 billion valuation","July 24, 2024 03:23 PM"
Budget 2024: FM leaves out direct doles for auto sector; duty cut on critical minerals to help EVs,"July 23, 2024 06:06 PM"
Electric Mobility Promotion Scheme to support up to 3.72 lakh EVs: Govt,"July 23, 2024 05:31 PM"
The Drive Report: 2024 Nissan X-Trail,"July 23, 2024 02:22 PM"
"Customs duty waiver on critical minerals like lithium, cobalt for EV battery","July 23, 2024 01:48 PM"
Auto sector looks for big bang reforms to sustain its growth momentum and propel country’s economy,"July 23, 2024 07:20 AM"
"EV Industry looks for tax rationalisation, sops and subsidies to power up its volumes","July 23, 2024 06:20 AM"
